iter	RMSE
0	4197.187
1	3918.984166
2	3674.37525
3	3459.551619
4	3276.266604
5	3109.897509
6	2967.942658
7	2838.716822
8	2726.347943
9	2627.410183
10	2542.418864
11	2468.348136
12	2404.677649
13	2343.189864
14	2291.185511
15	2245.112281
16	2207.15116
17	2170.506936
18	2138.912704
19	2112.414173
20	2088.081134
21	2067.987644
22	2048.367166
23	2031.731222
24	2015.417225
25	2003.067397
26	1991.807841
27	1981.410224
28	1971.232057
29	1961.549818
30	1953.548097
31	1945.844427
32	1938.181623
33	1931.835924
34	1926.069059
35	1919.925875
36	1914.858447
37	1909.443204
38	1904.575057
39	1901.10114
40	1896.880387
41	1892.593608
42	1888.23443
43	1885.460113
44	1880.868966
45	1877.51501
46	1873.948681
47	1866.791308
48	1863.061942
49	1858.378657
50	1856.413039
51	1852.625229
52	1849.868804
53	1846.838242
54	1843.981043
55	1841.490534
56	1839.456653
57	1836.956703
58	1834.077726
59	1831.152147
60	1828.761338
61	1825.749189
62	1822.687386
63	1819.782069
64	1816.976401
65	1814.940196
66	1812.105145
67	1810.365184
68	1808.350841
69	1805.614601
70	1804.165152
71	1802.202898
72	1799.560285
73	1797.165513
74	1794.705561
75	1793.722688
76	1791.637798
77	1790.083955
78	1788.886658
79	1787.1172
80	1784.54575
81	1783.05418
82	1780.965308
83	1778.924943
84	1776.510466
85	1774.70876
86	1773.291147
87	1772.209659
88	1770.628281
89	1769.139516
90	1767.174861
91	1765.67016
92	1764.5803
93	1762.756875
94	1761.709892
95	1759.817349
96	1758.408718
97	1756.390574
98	1755.273016
99	1753.915302
100	1753.111788
101	1750.919026
102	1749.834675
103	1747.586213
104	1745.419873
105	1743.909388
106	1742.491905
107	1740.889992
108	1740.093123
109	1739.260379
110	1738.213788
111	1737.075366
112	1735.53444
113	1734.260026
114	1733.345062
115	1732.439445
116	1730.564377
117	1729.587495
118	1727.964052
119	1726.195929
120	1725.404544
121	1723.981214
122	1723.137071
123	1721.481277
124	1720.363156
125	1719.388493
126	1718.16582
127	1715.848504
128	1714.327793
129	1713.452246
130	1712.266664
131	1711.554678
132	1710.604746
133	1708.961906
134	1707.601168
135	1706.646597
136	1704.769033
137	1703.994238
138	1703.189566
139	1701.802601
140	1700.418791
141	1699.597248
142	1699.190967
143	1698.429564
144	1697.252421
145	1695.744387
146	1695.112959
147	1694.369875
148	1693.404238
149	1692.907681
150	1691.766467
151	1690.824091
152	1690.003153
153	1689.039144
154	1688.346704
155	1687.011009
156	1685.952693
157	1683.854772
158	1682.874768
159	1681.938537
160	1681.244942
161	1680.510039
162	1678.30654
163	1677.217394
164	1676.1224
165	1675.411249
166	1674.746479
167	1673.318854
168	1672.422691
169	1671.783127
170	1671.476942
171	1670.652663
172	1670.10525
173	1669.127867
174	1667.862442
175	1666.633349
176	1665.927406
