iter	Passed	Remaining
0	99	99336
1	196	98024
2	311	103617
3	406	101314
4	541	107830
5	678	112366
6	755	107160
7	827	102559
8	894	98532
9	966	95677
10	1051	94552
11	1136	93562
12	1225	93022
13	1289	90792
14	1367	89820
15	1428	87883
16	1506	87105
17	1588	86665
18	1652	85308
19	1725	84543
20	1796	83758
21	1858	82624
22	1958	83196
23	2037	82878
24	2146	83722
25	2218	83110
26	2296	82753
27	2355	81755
28	2417	80943
29	2479	80182
30	2555	79884
31	2674	80917
32	2748	80536
33	2833	80497
34	2894	79812
35	2965	79404
36	3034	78968
37	3102	78537
38	3167	78050
39	3259	78230
40	3344	78225
41	3404	77644
42	3476	77368
43	3540	76926
44	3594	76293
45	3656	75833
46	3720	75441
47	3784	75065
48	3856	74855
49	3935	74782
50	3996	74371
51	4057	73962
52	4134	73872
53	4193	73465
54	4258	73176
55	4323	72888
56	4379	72448
57	4433	72007
58	4490	71616
59	4562	71480
60	4625	71196
61	4683	70855
62	4749	70638
63	4813	70398
64	4867	70018
65	4929	69754
66	4991	69511
67	5063	69394
68	5123	69128
69	5174	68750
70	5236	68511
71	5296	68270
72	5356	68023
73	5418	67808
74	5471	67481
75	5527	67203
76	5593	67051
77	5650	66797
78	5707	66540
79	5777	66437
80	5839	66254
81	5891	65959
82	5949	65726
83	6007	65509
84	6069	65339
85	6130	65151
86	6195	65015
87	6271	64993
88	6333	64825
89	6402	64732
90	6465	64581
91	6526	64408
92	6594	64315
93	6651	64112
94	6724	64058
95	6801	64045
96	6875	64006
97	6943	63906
98	7003	63740
99	7059	63538
100	7136	63520
101	7192	63326
102	7258	63215
103	7326	63121
104	7379	62899
105	7449	62824
106	7508	62661
107	7572	62539
108	7634	62409
109	7704	62339
110	7761	62161
111	7830	62083
112	7896	61982
113	7967	61922
114	8037	61855
115	8110	61807
116	8177	61715
117	8248	61654
118	8314	61554
119	8371	61388
120	8449	61377
121	8510	61249
122	8595	61287
123	8662	61196
124	8735	61148
125	8823	61201
126	8879	61036
127	8954	61002
128	9021	60915
129	9115	61002
130	9228	61216
131	9296	61130
132	9363	61037
133	9425	60915
134	9486	60780
135	9544	60632
136	9611	60548
137	9687	60514
138	9753	60417
139	9804	60225
140	9871	60140
141	9943	60083
142	10032	60124
143	10096	60017
144	10164	59935
145	10228	59830
146	10300	59769
147	10366	59676
148	10435	59603
149	10508	59549
150	10577	59471
151	10645	59393
152	10717	59329
153	10789	59273
154	10857	59191
155	10917	59068
156	10984	58979
157	11054	58911
158	11123	58835
159	11186	58727
160	11265	58706
161	11341	58667
162	11400	58542
163	11471	58478
164	11532	58360
165	11594	58252
166	11663	58175
167	11721	58046
168	11790	57976
169	11859	57901
170	11926	57820
171	11998	57760
172	12060	57652
173	12165	57750
174	12229	57653
175	12291	57544
176	12357	57459
177	12417	57341
178	12477	57228
179	12533	57097
180	12586	56951
181	12649	56853
182	12704	56718
183	12765	56610
184	12832	56532
185	12891	56417
186	12949	56299
187	13006	56176
188	13068	56076
189	13146	56047
190	13211	55957
191	13275	55868
192	13345	55803
193	13405	55696
194	13469	55606
195	13527	55490
196	13592	55403
197	13671	55377
198	13742	55314
199	13805	55223
200	13865	55118
201	13928	55023
202	13985	54908
203	14058	54853
204	14128	54789
205	14211	54774
206	14285	54728
207	14353	54652
208	14410	54537
209	14483	54485
210	14547	54399
211	14610	54305
212	14673	54217
213	14765	54231
214	14855	54240
215	14923	54167
216	14993	54102
217	15050	53987
218	15122	53931
219	15183	53831
220	15259	53787
221	15347	53784
222	15413	53705
223	15489	53661
224	15562	53605
225	15633	53541
226	15695	53449
227	15765	53381
228	15839	53329
229	15917	53287
230	15991	53235
231	16067	53190
232	16135	53117
233	16195	53015
234	16267	52956
235	16337	52888
236	16402	52806
237	16462	52706
238	16550	52698
239	16621	52633
240	16715	52644
241	16784	52572
242	16869	52552
243	16944	52501
244	17023	52461
245	17141	52538
246	17220	52497
247	17301	52461
248	17396	52469
249	17474	52422
250	17565	52416
251	17632	52337
252	17704	52272
253	17772	52196
254	17852	52158
255	17911	52056
256	17979	51978
257	18050	51913
258	18117	51835
259	18187	51765
260	18261	51707
261	18323	51614
262	18416	51607
263	18482	51527
264	18550	51450
265	18634	51418
266	18699	51335
267	18769	51266
268	18850	51225
269	18920	51154
270	18989	51083
271	19063	51022
272	19124	50927
273	19199	50871
274	19253	50759
275	19315	50669
276	19382	50590
277	19443	50496
278	19511	50422
279	19574	50334
280	19635	50241
281	19710	50185
282	19776	50106
283	19849	50044
284	19920	49975
285	19984	49890
286	20046	49801
287	20101	49695
288	20182	49653
289	20256	49592
290	20323	49516
291	20400	49464
292	20477	49412
293	20555	49361
294	20609	49252
295	20677	49179
296	20746	49106
297	20823	49054
298	20896	48992
299	20968	48926
300	21052	48889
301	21109	48788
302	21183	48729
303	21239	48627
304	21296	48527
305	21358	48441
306	21413	48338
307	21477	48253
308	21541	48172
309	21620	48123
310	21688	48048
311	21751	47965
312	21814	47879
313	21889	47823
314	21951	47735
315	22021	47665
316	22083	47580
317	22148	47501
318	22208	47410
319	22279	47344
320	22355	47288
321	22420	47209
322	22490	47138
323	22558	47066
324	22641	47025
325	22720	46974
326	22807	46939
327	22893	46904
328	22966	46840
329	23028	46754
330	23091	46670
331	23164	46608
