iter	Passed	Remaining
0	6	6522
1	10	5101
2	13	4331
3	22	5659
4	28	5629
5	32	5354
6	36	5112
7	38	4801
8	42	4625
9	45	4473
10	48	4388
11	52	4307
12	59	4504
13	64	4549
14	67	4457
15	71	4403
16	74	4318
17	78	4271
18	81	4223
19	87	4267
20	89	4186
21	93	4144
22	95	4064
23	98	4018
24	101	3961
25	105	3953
26	111	4021
27	120	4168
28	123	4151
29	128	4149
30	133	4165
31	136	4121
32	139	4084
33	141	4030
34	144	3997
35	148	3971
36	151	3935
37	154	3911
38	157	3870
39	160	3844
40	164	3841
41	166	3806
42	169	3780
43	172	3747
44	174	3713
45	177	3690
46	180	3659
47	186	3703
48	189	3674
49	194	3695
50	198	3684
51	201	3670
52	205	3676
53	208	3655
54	211	3625
55	213	3595
56	215	3571
57	219	3561
58	221	3534
59	224	3515
60	227	3500
61	230	3484
62	233	3465
63	235	3449
64	238	3426
65	241	3414
66	244	3405
67	247	3391
68	250	3378
69	253	3368
70	258	3376
71	260	3359
72	263	3340
73	266	3335
74	269	3317
75	271	3300
76	274	3295
77	277	3279
78	280	3268
79	282	3252
80	285	3238
81	289	3242
82	292	3234
83	298	3255
84	301	3247
85	308	3277
86	315	3306
87	318	3300
88	321	3289
89	323	3274
90	326	3266
91	331	3268
92	334	3260
93	337	3254
94	340	3241
95	342	3225
96	345	3213
97	348	3207
98	350	3193
99	355	3198
100	357	3186
101	360	3176
102	363	3164
103	366	3155
104	368	3143
105	371	3131
106	373	3118
107	375	3104
108	378	3093
109	381	3086
110	384	3082
111	387	3075
112	397	3116
113	400	3114
114	403	3103
115	405	3091
116	409	3090
117	411	3078
118	414	3065
119	417	3065
120	420	3056
121	423	3046
122	425	3036
123	428	3024
124	430	3014
125	436	3028
126	439	3018
127	441	3009
128	444	2998
129	446	2987
130	449	2980
131	452	2976
132	455	2967
133	457	2959
134	461	2954
135	464	2949
136	467	2941
137	469	2932
138	472	2925
139	474	2916
140	477	2909
141	484	2927
142	487	2919
143	490	2915
144	494	2917
145	497	2908
146	499	2900
147	503	2896
148	506	2893
149	509	2884
150	511	2876
151	515	2877
152	519	2873
153	521	2865
154	523	2855
155	526	2846
156	528	2838
157	531	2832
158	534	2825
159	536	2817
160	539	2812
161	541	2802
162	544	2796
163	547	2792
164	550	2784
165	553	2778
166	555	2772
