iter	Passed	Remaining
0	31	31081
1	46	22967
2	63	21065
3	81	20212
4	103	20643
5	146	24303
6	172	24478
7	193	23972
8	225	24797
9	246	24375
10	279	25096
11	314	25922
12	352	26792
13	384	27050
14	412	27058
15	431	26516
16	450	26059
17	470	25667
18	488	25244
19	520	25514
20	540	25197
21	567	25238
22	586	24913
23	604	24575
24	621	24255
25	639	23969
26	656	23660
27	672	23356
28	691	23149
29	708	22894
30	723	22612
31	738	22349
32	754	22117
33	769	21863
34	781	21544
35	796	21317
36	808	21034
37	821	20805
38	834	20573
39	847	20335
40	860	20116
41	874	19936
42	886	19728
43	899	19542
44	912	19362
45	926	19212
46	938	19032
47	951	18864
48	964	18718
49	976	18553
50	988	18396
51	1001	18249
52	1013	18112
53	1026	17976
54	1039	17862
55	1052	17746
56	1065	17624
57	1077	17498
58	1089	17380
59	1104	17303
60	1119	17230
61	1133	17146
62	1145	17033
63	1157	16932
64	1169	16824
65	1181	16726
66	1193	16620
67	1212	16614
68	1230	16599
69	1255	16675
70	1277	16716
71	1299	16752
72	1323	16809
73	1336	16721
74	1348	16631
75	1362	16559
76	1374	16470
77	1386	16388
78	1399	16313
79	1411	16234
80	1424	16163
81	1436	16085
82	1450	16020
83	1463	15956
84	1475	15885
85	1488	15819
86	1500	15747
87	1513	15687
88	1527	15632
89	1540	15578
90	1552	15512
91	1565	15449
92	1577	15381
93	1589	15317
94	1601	15259
95	1614	15201
96	1627	15147
97	1640	15097
98	1652	15040
99	1666	14999
100	1680	14953
101	1691	14895
102	1705	14849
103	1718	14807
104	1732	14769
105	1749	14754
106	1762	14713
107	1775	14666
108	1789	14625
109	1802	14585
110	1816	14551
111	1831	14519
112	1845	14484
113	1858	14443
114	1872	14409
115	1886	14379
116	1901	14350
117	1915	14315
118	1928	14279
119	1942	14246
120	1957	14218
121	1970	14183
122	1985	14153
123	1998	14118
124	2012	14085
125	2025	14049
126	2040	14023
127	2052	13984
128	2066	13955
129	2080	13926
130	2094	13896
131	2108	13866
132	2122	13837
133	2137	13815
134	2153	13799
135	2168	13777
136	2185	13768
137	2199	13741
138	2213	13710
139	2226	13677
140	2243	13666
141	2259	13652
142	2275	13639
143	2292	13625
144	2310	13622
145	2328	13617
146	2344	13602
147	2358	13578
148	2372	13548
149	2385	13519
150	2399	13491
151	2413	13462
152	2426	13435
153	2440	13405
154	2454	13381
155	2467	13349
156	2482	13328
157	2495	13299
158	2509	13272
159	2523	13247
160	2537	13221
161	2550	13193
162	2563	13162
163	2577	13139
164	2591	13112
165	2607	13102
166	2622	13079
167	2636	13056
168	2650	13032
169	2664	13007
170	2677	12978
171	2690	12954
172	2705	12933
173	2719	12908
174	2732	12883
175	2745	12855
176	2758	12828
177	2772	12805
178	2789	12793
179	2807	12788
180	2820	12764
181	2833	12736
182	2847	12711
183	2860	12687
184	2875	12669
185	2890	12648
186	2908	12646
187	2922	12623
188	2940	12618
189	2959	12618
190	2975	12603
191	2994	12601
192	3013	12599
193	3028	12582
194	3047	12579
195	3062	12564
196	3077	12546
197	3093	12529
198	3110	12519
199	3125	12502
200	3145	12503
201	3162	12492
202	3177	12476
203	3194	12466
204	3210	12451
205	3226	12435
206	3241	12416
207	3257	12405
208	3276	12399
209	3297	12405
210	3319	12413
211	3338	12407
212	3355	12398
213	3372	12387
214	3388	12370
215	3407	12367
216	3424	12355
217	3440	12341
218	3468	12367
219	3484	12353
220	3501	12341
221	3519	12333
222	3539	12331
223	3557	12323
224	3576	12317
225	3595	12314
226	3614	12307
227	3632	12299
228	3651	12292
229	3668	12281
230	3686	12270
231	3701	12254
232	3718	12240
233	3731	12216
234	3745	12192
235	3760	12173
236	3774	12150
237	3787	12125
238	3801	12105
239	3816	12085
240	3830	12062
241	3845	12046
242	3859	12024
243	3873	12000
244	3886	11978
245	3900	11954
246	3914	11933
