iter	Passed	Remaining
0	14	14792
1	22	11365
2	29	9752
3	39	9776
4	46	9215
5	52	8675
6	59	8373
7	65	8167
8	72	7976
9	78	7728
10	83	7513
11	89	7344
12	95	7248
13	100	7103
14	106	6961
15	111	6850
16	116	6760
17	122	6690
18	128	6659
19	135	6653
20	141	6596
21	153	6801
22	158	6739
23	165	6739
24	171	6703
25	177	6640
26	185	6667
27	193	6706
28	198	6643
29	203	6585
30	209	6539
31	215	6505
32	221	6478
33	228	6486
34	234	6459
35	239	6414
36	244	6369
37	252	6399
38	259	6397
39	266	6395
40	272	6378
41	279	6380
42	291	6476
43	296	6447
44	302	6422
45	309	6409
46	319	6472
47	325	6448
48	330	6410
49	340	6461
50	346	6447
51	354	6457
52	359	6430
53	365	6405
54	371	6391
55	377	6365
56	383	6337
57	392	6374
58	398	6349
59	404	6331
60	410	6316
61	416	6293
62	421	6272
63	427	6257
64	433	6238
65	439	6216
66	445	6209
67	452	6197
68	458	6189
69	464	6172
70	470	6160
71	476	6135
72	484	6146
73	490	6141
74	496	6121
75	502	6104
76	507	6086
77	514	6081
78	520	6065
79	526	6049
80	531	6028
81	537	6018
82	546	6043
83	552	6023
84	557	6001
85	562	5979
86	568	5969
87	575	5960
88	581	5952
89	588	5953
90	594	5933
91	599	5921
92	608	5938
93	615	5930
94	620	5913
95	626	5899
96	632	5884
97	638	5874
98	645	5878
99	653	5883
100	659	5872
101	665	5856
102	670	5841
103	675	5823
104	683	5829
105	689	5817
106	695	5801
107	701	5792
108	707	5780
109	712	5766
110	719	5758
111	724	5744
112	730	5731
113	735	5716
114	743	5721
115	748	5704
116	754	5691
117	759	5676
118	766	5672
119	772	5662
120	780	5669
121	794	5720
122	806	5749
123	812	5742
124	819	5739
125	826	5732
126	832	5721
127	844	5751
128	852	5753
129	859	5754
130	865	5740
131	871	5728
132	879	5731
133	885	5721
134	891	5710
135	896	5697
136	902	5685
137	917	5728
138	922	5712
139	927	5698
140	933	5689
141	939	5676
142	946	5670
143	951	5656
144	957	5646
145	968	5664
146	979	5684
147	985	5670
148	991	5660
149	997	5650
150	1011	5687
151	1017	5676
152	1023	5665
153	1029	5656
154	1038	5664
155	1045	5656
156	1051	5646
157	1057	5637
158	1064	5631
159	1070	5619
160	1076	5610
161	1081	5596
162	1087	5583
163	1093	5571
164	1099	5565
165	1105	5555
166	1111	5543
167	1116	5530
168	1122	5518
169	1128	5507
170	1136	5507
171	1143	5503
172	1149	5493
173	1157	5493
174	1164	5491
175	1170	5482
176	1177	5475
177	1182	5463
178	1191	5463
179	1200	5470
180	1210	5478
181	1216	5466
182	1221	5453
183	1229	5453
184	1235	5443
185	1240	5430
186	1246	5420
187	1253	5413
188	1260	5407
189	1269	5412
190	1275	5402
191	1281	5391
192	1286	5378
193	1298	5394
194	1304	5386
195	1310	5375
196	1316	5364
197	1321	5352
198	1327	5344
199	1334	5339
200	1340	5328
201	1346	5319
202	1351	5308
203	1358	5300
204	1364	5292
205	1371	5287
206	1376	5274
207	1382	5263
208	1388	5253
209	1394	5244
210	1399	5232
211	1404	5221
212	1410	5211
213	1416	5203
214	1421	5190
215	1429	5190
216	1440	5198
217	1446	5190
218	1453	5184
219	1462	5184
220	1468	5176
221	1474	5167
222	1480	5157
223	1486	5148
224	1493	5143
225	1499	5134
226	1505	5126
227	1510	5116
228	1517	5108
229	1524	5105
230	1531	5096
231	1536	5085
232	1541	5075
233	1547	5064
234	1552	5052
235	1558	5045
236	1565	5040
237	1571	5031
238	1577	5021
239	1583	5013
240	1590	5009
241	1596	5000
242	1602	4992
243	1608	4983
244	1614	4973
245	1619	4964
246	1627	4960
247	1633	4952
248	1639	4944
249	1645	4937
250	1654	4936
251	1661	4932
252	1667	4923
253	1672	4913
254	1680	4909
255	1686	4902
256	1694	4898
257	1701	4894
258	1707	4885
259	1713	4877
260	1721	4874
261	1727	4867
262	1734	4860
263	1744	4862
264	1753	4864
265	1760	4857
266	1765	4848
267	1771	4838
268	1776	4828
269	1783	4822
270	1789	4812
271	1796	4807
272	1801	4797
273	1808	4791
274	1814	4784
275	1822	4780
276	1830	4778
277	1836	4768
278	1841	4759
279	1848	4752
280	1854	4745
281	1860	4737
282	1866	4728
283	1871	4718
284	1878	4711
285	1884	4705
286	1890	4695
287	1898	4692
288	1903	4683
289	1910	4676
290	1917	4671
291	1924	4666
292	1931	4659
293	1936	4650
294	1950	4661
295	1959	4659
296	1964	4650
297	1970	4640
298	1976	4634
299	1983	4627
300	1989	4619
301	2000	4623
302	2005	4614
303	2011	4605
304	2017	4597
305	2023	4589
306	2029	4581
307	2037	4578
308	2045	4573
309	2050	4563
310	2058	4559
311	2063	4550
312	2069	4542
313	2076	4535
314	2082	4527
315	2087	4518
316	2093	4511
317	2099	4502
318	2104	4492
319	2111	4486
320	2118	4480
321	2128	4480
322	2133	4471
323	2138	4462
324	2144	4453
325	2154	4455
326	2160	4447
327	2166	4437
328	2173	4431
329	2179	4424
330	2185	4417
331	2191	4409
332	2196	4399
333	2202	4391
334	2207	4382
335	2215	4378
336	2221	4371
337	2227	4362
338	2233	4355
339	2240	4349
340	2247	4343
341	2253	4335
342	2259	4327
343	2264	4319
344	2270	4309
345	2276	4302
346	2281	4294
347	2293	4297
348	2299	4288
349	2307	4285
350	2313	4277
351	2319	4269
352	2325	4261
353	2330	4253
354	2336	4246
355	2342	4237
356	2351	4235
357	2356	4226
358	2362	4218
359	2368	4210
360	2375	4204
361	2380	4196
362	2386	4188
363	2391	4179
364	2397	4170
365	2406	4167
366	2412	4160
367	2418	4152
368	2423	4144
369	2429	4135
370	2436	4130
371	2442	4123
372	2456	4129
373	2463	4122
374	2471	4118
375	2476	4110
376	2482	4102
377	2487	4093
378	2493	4085
379	2500	4079
380	2508	4075
381	2515	4070
382	2521	4061
383	2526	4053
384	2531	4044
385	2538	4038
386	2547	4034
387	2552	4026
388	2558	4018
389	2563	4009
390	2569	4002
391	2580	4002
392	2585	3993
393	2591	3985
394	2598	3979
395	2604	3972
396	2610	3965
397	2616	3957
398	2621	3949
399	2627	3941
400	2634	3935
401	2641	3928
402	2647	3922
403	2653	3914
404	2659	3907
405	2664	3898
406	2672	3893
407	2678	3886
408	2683	3877
409	2689	3870
410	2699	3868
411	2705	3861
412	2711	3853
413	2716	3845
414	2722	3837
415	2728	3830
416	2734	3823
417	2741	3817
418	2747	3809
419	2752	3801
420	2758	3793
421	2764	3785
422	2770	3779
423	2777	3773
424	2784	3767
425	2789	3758
426	2798	3754
427	2803	3746
428	2809	3739
429	2815	3731
430	2821	3725
431	2827	3717
432	2834	3712
433	2841	3705
434	2846	3697
435	2852	3689
436	2858	3682
437	2865	3676
438	2871	3670
439	2878	3663
440	2884	3655
441	2889	3647
442	2897	3643
443	2903	3635
444	2908	3627
445	2914	3619
446	2919	3611
447	2925	3605
448	2931	3597
449	2938	3592
450	2944	3584
451	2950	3576
452	2956	3569
453	2967	3568
454	2976	3564
455	2984	3560
456	2997	3561
457	3004	3555
458	3010	3547
459	3018	3543
460	3027	3539
461	3037	3537
462	3043	3530
463	3049	3523
464	3057	3518
465	3064	3511
466	3070	3504
467	3076	3497
468	3083	3491
469	3089	3484
470	3095	3476
471	3103	3471
472	3110	3465
473	3115	3457
474	3122	3451
475	3134	3450
476	3141	3444
477	3147	3437
478	3159	3436
479	3165	3429
480	3171	3422
481	3177	3415
482	3183	3407
483	3189	3399
484	3195	3393
485	3200	3385
486	3206	3377
